"ID1","ID2","FormTime","DisTime","AgeGap","MSM","CondomUsingFormation"
127,214,12.9402962065,24.2333266314,-0.0049340810,0,0
30,381,8.2489804446,24.3688118529,2.7850330099,0,0
87,332,20.1962879197,24.3923612198,6.7084850460,0,0
142,312,9.5314488223,24.4568481821,10.9463386252,0,0
142,342,15.6341564908,24.4568481821,7.1525763716,0,0
88,304,14.0233891162,24.7953035704,1.0440691181,0,0
98,243,15.8215529481,24.8074652179,7.1330818457,0,0
7,286,15.9633714347,24.8147417468,7.8052069022,0,0
66,340,22.5886754748,24.8346791110,13.0511620976,0,0
40,307,24.8283326679,24.8877099761,18.0054165901,0,0
40,339,16.7130203502,24.8877099761,19.5274769199,0,0
45,336,19.7987994614,24.9095728173,7.4052176680,0,0
189,269,21.8521730575,24.9376560566,5.5292991728,0,0
189,295,20.8823786664,24.9376560566,3.3875828368,0,0
189,331,11.7054264364,24.9376560566,1.3545673274,0,0
189,354,9.4522735131,24.9376560566,-0.7046150622,0,0
189,358,14.5554672416,24.9376560566,1.7586121547,0,0
189,371,16.6611832830,24.9376560566,2.3205855901,0,0
189,373,9.4186491568,24.9376560566,-2.3943114633,0,0
71,255,9.8716838277,25.0515113965,7.0753630456,0,0
91,378,9.3205062775,25.2408314119,5.8079995988,0,0
78,333,14.0215898784,25.2432676762,3.8379963128,0,0
141,283,24.3577676268,25.3350801863,3.8638976384,0,0
24,300,13.7249886969,25.3882357254,4.8960138934,0,0
30,300,22.2990055459,25.3882357254,8.3068831508,0,0
83,300,23.0568864049,25.3882357254,8.7050108943,0,0
93,300,13.6133954409,25.3882357254,7.3394596612,0,0
113,300,15.7425968190,25.3882357254,8.6496264060,0,0
52,280,19.0324515249,25.4000858641,5.9455176066,0,0
139,280,6.7605777685,25.4000858641,3.6631489140,0,0
83,234,11.4618822608,25.5112109784,3.5656291248,0,0
52,321,11.9973870896,25.5953522299,6.9882497594,0,0
110,201,18.0761722033,25.8297689931,0.6934359727,0,0
78,354,20.4918481128,25.9327403956,3.3566814507,0,0
186,381,15.9829650321,26.1072868254,4.2130593054,0,0
92,275,11.4523290622,26.1647943241,16.6643899967,0,0
68,287,5.2989973111,26.1877232506,1.0398102728,0,0
427,414,23.2729916971,26.4110715061,-1.7763427251,0,0
184,367,24.2281399286,26.4463480692,4.9540943145,0,0
24,373,8.7122683618,26.7165250239,-1.6185945297,0,0
68,231,5.4401351443,26.7572532825,1.4365370866,0,0
98,205,17.6910567858,26.8870498252,5.5038009812,0,0
125,214,25.0638399470,26.9537135170,4.2311009522,0,0
125,263,6.7332798443,26.9537135170,0.7483221891,0,0
447,441,25.8742809284,27.0079081450,-0.4329943282,0,0
44,413,24.2929565837,27.1470247230,9.1009754572,0,0
145,379,12.3903973449,27.2432820883,5.2924254752,0,0
13,340,1.0805947552,27.4295917798,8.0174239255,0,0
13,376,0.0730219580,27.4295917798,5.3637400803,0,0
113,279,5.3675210814,27.4503647947,0.3176200951,0,0
113,353,15.7949895717,27.4503647947,9.9048381736,0,0
113,400,18.2870085902,27.4503647947,9.4988340163,0,0
113,401,25.9756858011,27.4503647947,11.8971316854,0,0
71,238,25.9518876754,27.5428943422,9.7173125914,0,0
91,263,6.4686135626,27.5592416690,3.8492954082,0,0
6,317,0.7036757846,27.7263474027,6.1181719331,0,0
66,317,13.9622316491,27.7263474027,10.8932419589,0,0
91,226,18.1857938493,27.9311874292,6.0993739726,0,0
130,321,10.1270542840,28.0177455897,5.4257431976,0,0
130,354,13.6429691487,28.0177455897,8.2975028933,0,0
182,211,19.8176111562,28.1076618496,3.5089312612,0,0
182,336,11.9496952657,28.1076618496,-0.0189787068,0,0
124,373,26.3114965151,28.1731026502,19.5124941027,0,0
88,304,25.7789148901,28.2368338770,1.0440691181,0,0
106,328,13.8105483676,28.2519686121,0.1447219061,0,0
119,336,10.4636750657,28.3441317407,9.6868439679,0,0
147,276,15.0095135088,28.4951095535,11.2244672356,0,0
188,246,11.5321597823,28.4969162989,-1.0679123287,0,0
141,295,13.5732954266,28.5160107923,2.0583069196,0,0
148,400,16.4056310443,28.5617000399,6.5356276665,0,0
450,441,25.0161885768,28.5676733707,-0.7260235012,0,0
139,274,5.9367603416,28.6515533695,4.7676389139,0,0
175,370,8.3790134143,28.6665595495,8.9993230922,0,0
175,376,11.0098599193,28.6665595495,9.5541980482,0,0
463,458,28.6428829345,28.6889187281,-0.3444912547,0,0
21,365,13.9407864972,28.7404940484,2.4961609187,0,0
38,365,11.0663274311,28.7404940484,-1.8509278160,0,0
162,328,15.3455175356,28.7470820307,2.4054006198,0,0
71,205,19.3371149778,28.7472107876,9.0787367988,0,0
93,205,18.0607584296,29.0603570981,5.6279292154,0,0
80,232,19.6258599500,29.0903611966,0.0172436652,0,0
7,228,21.2723187088,29.1428732024,7.9535172185,0,0
7,319,25.9624722181,29.1428732024,7.0158343284,0,0
7,386,10.0168786858,29.1428732024,6.4403716179,0,0
92,307,11.6711824200,29.1643770045,15.1633803704,0,0
